Year,Age_Group,Sex,Education_Attainment_Level,NUTS_2_Region,VALUE
2019,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,91.8
2019,35 - 39 years,Male,Tertiary education (Levels 5-8),Northern and Western,91.9
2019,35 - 39 years,Male,Tertiary education (Levels 5-8),Southern,94.3
2019,35 - 39 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,94.1
2019,35 - 39 years,Male,Level of education - not stated,Northern and Western,0.0
2019,35 - 39 years,Male,Level of education - not stated,Southern,83.6
2019,35 - 39 years,Male,Level of education - not stated,Eastern and Midland,89.6
2019,35 - 39 years,Female,Less than primary (Level 0),Northern and Western,0.0
2019,35 - 39 years,Female,Less than primary (Level 0),Southern,0.0
2019,35 - 39 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2019,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2019,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Southern,27.5
2019,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,45.9
2019,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,64.7
2019,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,65.2
2019,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,65.8
2019,35 - 39 years,Female,Tertiary education (Levels 5-8),Northern and Western,79.3
2019,35 - 39 years,Female,Tertiary education (Levels 5-8),Southern,85.3
2019,35 - 39 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,85.0
2019,35 - 39 years,Female,Level of education - not stated,Northern and Western,0.0
2019,35 - 39 years,Female,Level of education - not stated,Southern,60.5
2019,35 - 39 years,Female,Level of education - not stated,Eastern and Midland,75.3
2019,40 - 44 years,Male,Less than primary (Level 0),Northern and Western,0.0
2019,40 - 44 years,Male,Less than primary (Level 0),Southern,0.0
2019,40 - 44 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2019,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,66.6
2019,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Southern,65.1
2019,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,68.7
2019,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,85.7
2019,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,89.2
2019,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,85.5
2019,40 - 44 years,Male,Tertiary education (Levels 5-8),Northern and Western,95.4
2019,40 - 44 years,Male,Tertiary education (Levels 5-8),Southern,93.4
2019,40 - 44 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,93.7
2019,40 - 44 years,Male,Level of education - not stated,Northern and Western,94.3
2019,40 - 44 years,Male,Level of education - not stated,Southern,78.4
2019,40 - 44 years,Male,Level of education - not stated,Eastern and Midland,82.0
2019,40 - 44 years,Female,Less than primary (Level 0),Northern and Western,0.0
2019,40 - 44 years,Female,Less than primary (Level 0),Southern,0.0
2019,40 - 44 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2019,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2019,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Southern,31.5
2019,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,47.4
2019,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,68.5
2019,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,64.4
2019,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,68.6
2019,40 - 44 years,Female,Tertiary education (Levels 5-8),Northern and Western,83.9
2019,40 - 44 years,Female,Tertiary education (Levels 5-8),Southern,83.5
2019,40 - 44 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,83.7
2019,40 - 44 years,Female,Level of education - not stated,Northern and Western,0.0
2019,40 - 44 years,Female,Level of education - not stated,Southern,0.0
2019,40 - 44 years,Female,Level of education - not stated,Eastern and Midland,76.6
2019,45 - 49 years,Male,Less than primary (Level 0),Northern and Western,0.0
2019,45 - 49 years,Male,Less than primary (Level 0),Southern,0.0
2019,45 - 49 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2019,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,72.7
2019,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Southern,66.5
2019,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,71.4
2019,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,83.8
2019,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,88.5
2019,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,88.5
2019,45 - 49 years,Male,Tertiary education (Levels 5-8),Northern and Western,94.4
2019,45 - 49 years,Male,Tertiary education (Levels 5-8),Southern,93.4
2019,45 - 49 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,92.5
2019,45 - 49 years,Male,Level of education - not stated,Northern and Western,0.0
2019,45 - 49 years,Male,Level of education - not stated,Southern,80.4
2019,45 - 49 years,Male,Level of education - not stated,Eastern and Midland,87.6
2019,45 - 49 years,Female,Less than primary (Level 0),Northern and Western,0.0
2019,45 - 49 years,Female,Less than primary (Level 0),Southern,0.0
2019,45 - 49 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2019,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,47.0
2019,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Southern,45.2
2019,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,42.9
2019,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,69.5
2019,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,70.6
2019,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,67.3
2019,45 - 49 years,Female,Tertiary education (Levels 5-8),Northern and Western,83.3
2019,45 - 49 years,Female,Tertiary education (Levels 5-8),Southern,83.4
2019,45 - 49 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,82.9
2019,45 - 49 years,Female,Level of education - not stated,Northern and Western,0.0
2019,45 - 49 years,Female,Level of education - not stated,Southern,71.2
2019,45 - 49 years,Female,Level of education - not stated,Eastern and Midland,78.8
2019,50 - 54 years,Male,Less than primary (Level 0),Northern and Western,0.0
2019,50 - 54 years,Male,Less than primary (Level 0),Southern,0.0
2019,50 - 54 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2019,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,73.0
2019,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Southern,67.9
2019,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,70.7
2019,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,90.3
2019,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,86.7
2019,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,84.9
2019,50 - 54 years,Male,Tertiary education (Levels 5-8),Northern and Western,94.6
2019,50 - 54 years,Male,Tertiary education (Levels 5-8),Southern,91.6
2019,50 - 54 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,93.4
2019,50 - 54 years,Male,Level of education - not stated,Northern and Western,0.0
2019,50 - 54 years,Male,Level of education - not stated,Southern,60.2
2019,50 - 54 years,Male,Level of education - not stated,Eastern and Midland,82.6
2019,50 - 54 years,Female,Less than primary (Level 0),Northern and Western,0.0
2019,50 - 54 years,Female,Less than primary (Level 0),Southern,0.0
2019,50 - 54 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2019,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,39.7
2019,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Southern,32.0
2019,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,47.0
2019,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,68.1
2019,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,62.7
2019,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,69.8
2019,50 - 54 years,Female,Tertiary education (Levels 5-8),Northern and Western,80.4
2019,50 - 54 years,Female,Tertiary education (Levels 5-8),Southern,80.9
2019,50 - 54 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,82.9
2019,50 - 54 years,Female,Level of education - not stated,Northern and Western,0.0
2019,50 - 54 years,Female,Level of education - not stated,Southern,75.6
2019,50 - 54 years,Female,Level of education - not stated,Eastern and Midland,0.0
2019,55 - 59 years,Male,Less than primary (Level 0),Northern and Western,0.0
2019,55 - 59 years,Male,Less than primary (Level 0),Southern,0.0
2019,55 - 59 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2019,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,68.9
2019,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Southern,64.9
2019,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,71.2
2019,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,83.6
2019,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,79.1
2019,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,78.4
2019,55 - 59 years,Male,Tertiary education (Levels 5-8),Northern and Western,81.9
2019,55 - 59 years,Male,Tertiary education (Levels 5-8),Southern,79.3
2019,55 - 59 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,89.8
2019,55 - 59 years,Male,Level of education - not stated,Northern and Western,0.0
2019,55 - 59 years,Male,Level of education - not stated,Southern,0.0
2019,55 - 59 years,Male,Level of education - not stated,Eastern and Midland,78.0
2019,55 - 59 years,Female,Less than primary (Level 0),Northern and Western,0.0
2019,55 - 59 years,Female,Less than primary (Level 0),Southern,0.0
2019,55 - 59 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2019,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,41.6
2019,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Southern,40.4
2019,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,40.7
2019,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,67.1
2019,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,58.7
2019,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,64.1
2019,55 - 59 years,Female,Tertiary education (Levels 5-8),Northern and Western,74.0
2019,55 - 59 years,Female,Tertiary education (Levels 5-8),Southern,73.4
2019,55 - 59 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,74.6
2019,55 - 59 years,Female,Level of education - not stated,Northern and Western,0.0
2019,55 - 59 years,Female,Level of education - not stated,Southern,0.0
2019,55 - 59 years,Female,Level of education - not stated,Eastern and Midland,0.0
2019,60 - 64 years,Male,Less than primary (Level 0),Northern and Western,0.0
2019,60 - 64 years,Male,Less than primary (Level 0),Southern,0.0
2019,60 - 64 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2019,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,63.3
2019,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Southern,53.6
2019,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,54.1
2019,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,69.0
2019,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,64.7
2019,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,62.2
2019,60 - 64 years,Male,Tertiary education (Levels 5-8),Northern and Western,54.7
2019,60 - 64 years,Male,Tertiary education (Levels 5-8),Southern,60.8
2019,60 - 64 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,66.4
2019,60 - 64 years,Male,Level of education - not stated,Northern and Western,0.0
2019,60 - 64 years,Male,Level of education - not stated,Southern,0.0
2019,60 - 64 years,Male,Level of education - not stated,Eastern and Midland,0.0
2019,60 - 64 years,Female,Less than primary (Level 0),Northern and Western,0.0
2019,60 - 64 years,Female,Less than primary (Level 0),Southern,0.0
2019,60 - 64 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2019,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,31.5
2019,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Southern,28.6
2019,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,34.7
2019,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,53.7
2019,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,46.2
2019,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,51.3
2019,60 - 64 years,Female,Tertiary education (Levels 5-8),Northern and Western,55.2
2019,60 - 64 years,Female,Tertiary education (Levels 5-8),Southern,49.2
2019,60 - 64 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,59.3
2019,60 - 64 years,Female,Level of education - not stated,Northern and Western,0.0
2019,60 - 64 years,Female,Level of education - not stated,Southern,0.0
2019,60 - 64 years,Female,Level of education - not stated,Eastern and Midland,0.0
2020,20 - 24 years,Male,Less than primary (Level 0),Northern and Western,0.0
2020,20 - 24 years,Male,Less than primary (Level 0),Southern,0.0
2020,20 - 24 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2020,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2020,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Southern,0.0
2020,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,0.0
2020,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,51.8
2020,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,51.1
2020,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,57.2
2020,20 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,58.8
2020,20 - 24 years,Male,Tertiary education (Levels 5-8),Southern,69.5
2020,20 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,72.7
2020,20 - 24 years,Male,Level of education - not stated,Northern and Western,0.0
2020,20 - 24 years,Male,Level of education - not stated,Southern,0.0
2020,20 - 24 years,Male,Level of education - not stated,Eastern and Midland,0.0
2020,20 - 24 years,Female,Less than primary (Level 0),Northern and Western,0.0
2020,20 - 24 years,Female,Less than primary (Level 0),Southern,0.0
2020,20 - 24 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2020,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2020,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Southern,0.0
2020,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,0.0
2020,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,41.0
2020,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,54.8
2020,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,49.3
2020,20 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,68.0
2020,20 - 24 years,Female,Tertiary education (Levels 5-8),Southern,72.8
2020,20 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,74.9
2020,20 - 24 years,Female,Level of education - not stated,Northern and Western,0.0
2020,20 - 24 years,Female,Level of education - not stated,Southern,0.0
2020,20 - 24 years,Female,Level of education - not stated,Eastern and Midland,0.0
2020,25 - 29 years,Male,Less than primary (Level 0),Northern and Western,0.0
2020,25 - 29 years,Male,Less than primary (Level 0),Southern,0.0
2020,25 - 29 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2020,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2020,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Southern,0.0
2020,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,0.0
2020,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,73.6
2020,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,72.1
2020,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,77.1
2020,25 - 29 years,Male,Tertiary education (Levels 5-8),Northern and Western,74.7
2020,25 - 29 years,Male,Tertiary education (Levels 5-8),Southern,86.7
2020,25 - 29 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,85.6
2020,25 - 29 years,Male,Level of education - not stated,Northern and Western,0.0
2020,25 - 29 years,Male,Level of education - not stated,Southern,0.0
2020,25 - 29 years,Male,Level of education - not stated,Eastern and Midland,86.4
2020,25 - 29 years,Female,Less than primary (Level 0),Northern and Western,0.0
2020,25 - 29 years,Female,Less than primary (Level 0),Southern,0.0
2020,25 - 29 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2020,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2020,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Southern,0.0
2020,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,0.0
2020,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,52.7
2020,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,61.1
2020,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,55.6
2020,25 - 29 years,Female,Tertiary education (Levels 5-8),Northern and Western,77.3
2020,25 - 29 years,Female,Tertiary education (Levels 5-8),Southern,78.7
2020,25 - 29 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,82.8
2020,25 - 29 years,Female,Level of education - not stated,Northern and Western,0.0
2020,25 - 29 years,Female,Level of education - not stated,Southern,0.0
2020,25 - 29 years,Female,Level of education - not stated,Eastern and Midland,83.6
2020,30 - 34 years,Male,Less than primary (Level 0),Northern and Western,0.0
2020,30 - 34 years,Male,Less than primary (Level 0),Southern,0.0
2020,30 - 34 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2020,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2020,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Southern,63.4
2020,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,58.3
